"Notes"	"County"	"County Code"	"Year"	"Year Code"	Avg Daily Max Heat Index (F)
	"Alamance County, NC"	"37001"	"1979"	"1979"	89.15
	"Alamance County, NC"	"37001"	"1980"	"1980"	91.20
	"Alamance County, NC"	"37001"	"1981"	"1981"	89.81
	"Alamance County, NC"	"37001"	"1982"	"1982"	87.62
	"Alamance County, NC"	"37001"	"1983"	"1983"	91.48
	"Alamance County, NC"	"37001"	"1984"	"1984"	88.59
	"Alamance County, NC"	"37001"	"1985"	"1985"	87.90
	"Alamance County, NC"	"37001"	"1986"	"1986"	90.83
	"Alamance County, NC"	"37001"	"1987"	"1987"	90.28
	"Alamance County, NC"	"37001"	"1988"	"1988"	90.92
	"Alamance County, NC"	"37001"	"1989"	"1989"	89.29
	"Alamance County, NC"	"37001"	"1990"	"1990"	89.15
	"Alamance County, NC"	"37001"	"1991"	"1991"	90.35
	"Alamance County, NC"	"37001"	"1992"	"1992"	88.88
	"Alamance County, NC"	"37001"	"1993"	"1993"	91.01
	"Alamance County, NC"	"37001"	"1994"	"1994"	89.03
	"Alamance County, NC"	"37001"	"1995"	"1995"	90.32
	"Alamance County, NC"	"37001"	"1996"	"1996"	88.91
	"Alamance County, NC"	"37001"	"1997"	"1997"	89.74
	"Alamance County, NC"	"37001"	"1998"	"1998"	90.81
	"Alamance County, NC"	"37001"	"1999"	"1999"	91.65
	"Alamance County, NC"	"37001"	"2000"	"2000"	89.46
	"Alamance County, NC"	"37001"	"2001"	"2001"	87.81
	"Alamance County, NC"	"37001"	"2002"	"2002"	90.85
	"Alamance County, NC"	"37001"	"2003"	"2003"	90.19
	"Alamance County, NC"	"37001"	"2004"	"2004"	87.97
	"Alamance County, NC"	"37001"	"2005"	"2005"	91.11
	"Alamance County, NC"	"37001"	"2006"	"2006"	90.04
	"Alamance County, NC"	"37001"	"2007"	"2007"	90.38
	"Alamance County, NC"	"37001"	"2008"	"2008"	90.70
	"Alamance County, NC"	"37001"	"2009"	"2009"	89.13
	"Alamance County, NC"	"37001"	"2010"	"2010"	93.03
	"Alamance County, NC"	"37001"	"2011"	"2011"	92.70
"Total"	"Alamance County, NC"	"37001"			90.08
	"Alexander County, NC"	"37003"	"1979"	"1979"	87.80
	"Alexander County, NC"	"37003"	"1980"	"1980"	90.29
	"Alexander County, NC"	"37003"	"1981"	"1981"	88.41
	"Alexander County, NC"	"37003"	"1982"	"1982"	86.23
	"Alexander County, NC"	"37003"	"1983"	"1983"	90.12
	"Alexander County, NC"	"37003"	"1984"	"1984"	87.22
